id,title,genres,averageRating,numVotes,releaseYear
tt0080306,Yes Minister,Comedy,8.6,17272,1980
tt8317568,Broken But Beautiful,"Drama, Romance",8.6,17237,2018
tt0203082,Rurouni Kenshin: Trust and Betrayal,"Action, Adventure, Animation",8.6,16712,1999
tt17513352,Twenty Five Twenty One,"Drama, Romance",8.6,15738,2022
tt0403778,Long Way Round,"Adventure, Documentary",8.6,15716,2004
tt15614372,Tear Along the Dotted Line,"Animation, Comedy, Drama",8.6,15250,2021
tt6385540,Hilda,"Adventure, Animation, Drama",8.6,14595,2018
tt0120570,From the Earth to the Moon,"Action, Drama, History",8.6,13562,1998
tt0086831,"Yes, Prime Minister",Comedy,8.6,13451,1986
tt1877368,The Great British Baking Show,"Game-Show, Reality-TV",8.6,13445,2010
tt13634792,Mouse,"Action, Crime, Mystery",8.6,12672,2021
tt5320412,Moon Lovers: Scarlet Heart Ryeo,"Action, Drama, Fantasy",8.6,12414,2016
tt13400006,Mr. Queen,"Comedy, Fantasy, Romance",8.6,11936,2020
tt0118273,Brass Eye,Comedy,8.6,11840,1997
tt9103932,Greatest Events of WWII in Colour,"Documentary, History, War",8.6,11703,2019
tt31862849,Very Parivarik,Comedy,8.6,10533,2024
tt8254348,ImMATURE,"Comedy, Drama, Romance",8.6,10504,2019
tt0426719,Hunter x Hunter,"Action, Adventure, Animation",8.6,10286,1999
tt9304350,Fruits Basket,"Animation, Comedy, Drama",8.6,10284,2019
tt4580372,Merlí,"Comedy, Drama, Romance",8.6,10251,2015
tt2306299,Vikings,"Action, Adventure, Drama",8.5,602879,2013
tt10048342,The Queen's Gambit,Drama,8.5,588358,2020
tt0475784,Westworld,"Drama, Mystery, Sci-Fi",8.5,542341,2016
tt1442437,Modern Family,"Comedy, Drama, Romance",8.5,502547,2009
tt4158110,Mr. Robot,"Crime, Drama, Thriller",8.5,430703,2015
tt5071412,Ozark,"Crime, Drama, Thriller",8.5,359629,2017
tt6763664,The Haunting of Hill House,"Drama, Horror, Mystery",8.5,301665,2018
tt1586680,Shameless,"Comedy, Drama",8.5,300517,2011
tt1439629,Community,Comedy,8.5,299806,2009
tt2243973,Hannibal,"Crime, Drama, Horror",8.5,284794,2013
tt0149460,Futurama,"Adventure, Animation, Comedy",8.5,267179,1999
tt1442449,Spartacus,"Action, Adventure, Biography",8.5,262188,2010
tt0436992,Doctor Who,"Adventure, Drama, Sci-Fi",8.5,253002,2005
tt1839578,Person of Interest,"Action, Crime, Drama",8.5,194037,2011
tt3230854,The Expanse,"Drama, Mystery, Sci-Fi",8.5,178111,2015
tt4179452,The Last Kingdom,"Action, Drama, History",8.5,173069,2015
tt2575988,Silicon Valley,Comedy,8.5,170476,2014
tt0487831,The IT Crowd,Comedy,8.5,167878,2006
tt3526078,Schitt's Creek,Comedy,8.5,153310,2015
tt1758429,Spartacus: Gods of the Arena,"Action, Adventure, Biography",8.5,148198,2011
tt12343534,Jujutsu Kaisen,"Action, Adventure, Animation",8.5,136781,2020
tt0290978,The Office,"Comedy, Drama",8.5,126024,2001
tt5189670,Making a Murderer,"Crime, Documentary",8.5,104603,2015
tt6077448,Sacred Games,"Action, Crime, Drama",8.5,94358,2018
tt0112159,Neon Genesis Evangelion,"Action, Animation, Drama",8.5,91809,1995
tt3502248,Bosch,"Crime, Drama",8.5,86424,2014
tt10638036,Heartstopper,"Drama, Romance",8.5,84026,2022
tt1492966,Louie,"Comedy, Drama",8.5,83178,2010
tt0314979,Battlestar Galactica,"Action, Adventure, Drama",8.5,81812,2003
tt0421357,Fullmetal Alchemist,"Action, Adventure, Animation",8.5,79959,2003
tt4093826,Twin Peaks,"Crime, Drama, Horror",8.5,78860,2017
tt0088509,Dragon Ball,"Action, Adventure, Animation",8.5,69401,1986
tt0280249,Dragon Ball,"Action, Adventure, Animation",8.5,67328,1995
tt11912196,Asur: Welcome to Your Dark Side,"Crime, Drama, Mystery",8.5,67311,2020
tt0863046,Flight of the Conchords,"Comedy, Music, Musical",8.5,67221,2007
tt3428912,Happy Valley,"Crime, Drama, Thriller",8.5,67185,2014
tt0068098,M*A*S*H,"Comedy, Drama, War",8.5,65503,1972
tt7120662,Derry Girls,Comedy,8.5,65166,2018
tt1710308,Regular Show,"Action, Adventure, Animation",8.5,62590,2010
tt0278238,Samurai Jack,"Action, Adventure, Animation",8.5,61700,2001
tt0187664,Spaced,Comedy,8.5,58720,1999
tt0423731,Samurai Champloo,"Action, Adventure, Animation",8.5,57632,2004
tt2937900,The Knick,"Drama, History",8.5,53511,2014
tt0275137,Justice League,"Action, Adventure, Animation",8.5,53367,2001
tt8289930,Formula 1: Drive to Survive,"Documentary, Sport",8.5,53216,2019
tt0290988,Trailer Park Boys,"Comedy, Crime",8.5,52743,2001
tt0402711,Boston Legal,"Comedy, Crime, Drama",8.5,51007,2004
tt5897304,Mob Psycho 100,"Action, Animation, Comedy",8.5,50584,2016
tt0237123,Coupling,"Comedy, Romance",8.5,48468,2000
tt0163507,Whose Line Is It Anyway?,"Comedy, Game-Show",8.5,47244,1998
tt3895150,Your Lie in April,"Animation, Comedy, Drama",8.5,40616,2014
tt2359704,JoJo's Bizarre Adventure,"Action, Adventure, Animation",8.5,38952,2012
tt0373732,The Boondocks,"Action, Animation, Comedy",8.5,37196,2005
tt12714854,Mumbai Diaries,"Drama, Thriller",8.5,30897,2021
tt1526318,Borgen,Drama,8.5,30689,2010
tt11301642,Ethos,"Drama, Thriller",8.5,30209,2020
tt1299368,Southland,"Crime, Drama, Thriller",8.5,29635,2009
tt0043208,I Love Lucy,Comedy,8.5,29528,1951
tt10802170,The Rehearsal,"Comedy, Documentary",8.5,27349,2022
tt9398466,Delhi Crime,"Crime, Drama",8.5,27005,2019
tt16296870,The Railway Men,"Drama, History, Thriller",8.5,25571,2023
tt0075520,Jesus of Nazareth,"Biography, Drama, History",8.5,25451,1977
tt1353056,RuPaul's Drag Race,"Game-Show, Reality-TV",8.5,24007,2009
tt0088727,Anne of Green Gables,"Drama, Family",8.5,23232,1985
tt0262985,Queer as Folk,"Drama, Romance",8.5,22897,2000
tt9522300,Kaguya-sama: Love is War,"Animation, Comedy, Romance",8.5,22335,2019
tt2674806,Inside No. 9,"Comedy, Crime, Drama",8.5,21588,2014
tt11407524,Hostel Daze,"Comedy, Drama",8.5,21577,2019
tt0346314,Ghost in the Shell: Stand Alone Complex,"Action, Animation, Crime",8.5,21433,2002
tt7259746,Queer Eye,Reality-TV,8.5,21387,2018
tt0182629,Rurouni Kenshin,"Action, Adventure, Animation",8.5,20980,1996
tt6005644,TVF Tripling,"Comedy, Drama",8.5,20784,2016
tt1094229,Heartland,"Drama, Family",8.5,20754,2007
tt0397150,Garth Marenghi's Darkplace,"Comedy, Fantasy, Horror",8.5,20581,2004
tt3673794,Kingdom,"Drama, Sport",8.5,20099,2014
tt2155025,Please Like Me,"Comedy, Drama, Romance",8.5,20035,2013
tt12074628,Smiling Friends,"Animation, Comedy, Short",8.5,19779,2020
tt0047708,Alfred Hitchcock Presents,"Crime, Drama, Mystery",8.5,19681,1955
tt0493331,Barareh Nights,Comedy,8.5,18821,2005
tt5425186,Horace and Pete,"Comedy, Drama",8.5,17793,2016
tt0070644,Scenes from a Marriage,Drama,8.5,17455,1973
tt4295140,Chef's Table,"Biography, Documentary",8.5,17303,2015
tt0185133,Yu Yu Hakusho: Ghost Files,"Action, Adventure, Animation",8.5,16735,1992
tt0131179,Detective Conan,"Action, Animation, Comedy",8.5,16040,1996
tt1230180,The Angry Video Game Nerd,"Action, Comedy, Fantasy",8.5,16019,2004
tt6958022,The Defiant Ones,"Biography, Crime, Documentary",8.5,15793,2017
tt11691684,Flower of Evil,"Crime, Mystery, Romance",8.5,15551,2020
tt26225038,Death's Game,"Drama, Fantasy",8.5,15432,2023
tt0061287,The Prisoner,"Drama, Mystery, Sci-Fi",8.5,15391,1967
tt0098825,House of Cards,Drama,8.5,15294,1990
tt0934320,Summer Heights High,"Comedy, Drama, Family",8.5,15270,2007
tt0807832,Mushi-Shi,"Animation, Drama, Fantasy",8.5,15076,2005
tt22185582,Sixer,"Drama, Sport",8.5,14152,2022
tt27867155,Mr Bates vs. The Post Office,"Biography, Drama",8.5,13035,2024
tt0315008,Great Teacher Onizuka,"Animation, Comedy, Drama",8.5,12243,1999
tt0161952,Saint Seiya: Knights of the Zodiac,"Action, Adventure, Animation",8.5,11591,1986
tt12369754,Staged,"Comedy, Drama",8.5,10766,2020
tt0062550,The Bugs Bunny/Road Runner Hour,"Animation, Comedy",8.5,10359,1968
tt11052470,Move to Heaven,Drama,8.5,10340,2021
tt2301351,RuPaul's Drag Race All Stars,"Game-Show, Reality-TV",8.5,10199,2012
tt5332206,Signal,"Crime, Drama, Fantasy",8.5,10048,2016
tt1632701,Suits,"Comedy, Drama",8.4,500260,2011
tt0460681,Supernatural,"Drama, Fantasy, Horror",8.4,498594,2005
tt2467372,Brooklyn Nine-Nine,"Comedy, Crime",8.4,381650,2013
tt0285403,Scrubs,"Comedy, Drama",8.4,274467,2001
tt5675620,The Punisher,"Action, Crime, Drama",8.4,274098,2017
tt12637874,Fallout,"Action, Adventure, Drama",8.4,273467,2024
tt5834204,The Handmaid's Tale,"Drama, Sci-Fi, Thriller",8.4,265710,2017
tt1119644,Fringe,"Drama, Mystery, Sci-Fi",8.4,261574,2008
